Data,Category,pval,Fmod,padj
Kraken - Fungi,Infraorder,0.3513,0.88676563602836,0.4386
Kraken - Fungi,Ocean,0.4835,0.838578497031306,0.4835
Kraken - Fungi,Grade,0.3655,1.12807143478668,0.4386
Kraken - Fungi,Diet_group,0.2179,1.59398506786575,0.4358
Kraken - Fungi,Family,8e-04,7.35711409450984,0.0024
Kraken - Fungi,Genus,8e-04,5.8653002352719,0.0024
Kraken - Archaea,Infraorder,0.8051,0.0625597947866512,0.8051
Kraken - Archaea,Ocean,0.0864,2.39602946940604,0.2626
Kraken - Archaea,Grade,0.1857,1.64742247527463,0.27855
Kraken - Archaea,Diet_group,0.508,0.722227658659249,0.6096
Kraken - Archaea,Family,0.0964,2.46998676234642,0.2626
Kraken - Archaea,Genus,0.1313,2.02155939382157,0.2626
Kraken - Infraorder,Genus,0.936,0.00661227881936843,0.936
Kraken - Bacteria,Ocean,0.0038,5.7236150865277,0.0165
Kraken - Bacteria,Grade,0.0147,3.85493887073392,0.0245
Kraken - Bacteria,Diet_group,0.3929,0.987522951387368,0.3929
Kraken - Bacteria,Family,0.0066,4.60057687031861,0.0165
Kraken - Bacteria,Genus,0.0614,2.48765015194665,0.07675
MAG,Infraorder,0.046,4.2382241532759,0.046
MAG,Ocean,2e-04,9.96500095871591,4e-04
MAG,Grade,0.0011,6.16547870308657,0.00165
MAG,Diet_group,1e-04,14.8178674725359,4e-04
MAG,Family,2e-04,10.7689235868701,4e-04
MAG,Genus,0.0038,4.54315809874771,0.00456
